Time,lightning game
2025-04-15,25
2025-04-16,28
2025-04-17,20
2025-04-18,20
2025-04-19,16
2025-04-20,16
2025-04-21,16
2025-04-22,46
2025-04-23,100
2025-04-24,66
2025-04-25,69
2025-04-26,81
2025-04-27,34
2025-04-28,50
2025-04-29,76
2025-04-30,60
2025-05-01,99
2025-05-02,10
2025-05-03,7
2025-05-04,9
2025-05-05,7
2025-05-06,5
2025-05-07,6
2025-05-08,5
2025-05-09,5
2025-05-10,5
2025-05-11,5
2025-05-12,5
2025-05-13,2
2025-05-14,5
2025-05-15,6
2025-05-16,6
2025-05-17,7
2025-05-18,6
2025-05-19,4
2025-05-20,4
2025-05-21,5
2025-05-22,4
2025-05-23,5
2025-05-24,6
2025-05-25,6
2025-05-26,5
2025-05-27,5
2025-05-28,6
2025-05-29,4
2025-05-30,3
2025-05-31,6
2025-06-01,4
2025-06-02,3
2025-06-03,4
2025-06-04,6
2025-06-05,4
2025-06-06,5
2025-06-07,7
2025-06-08,6
2025-06-09,6
2025-06-10,5
2025-06-11,5
2025-06-12,5
2025-06-13,3
2025-06-14,7
2025-06-15,6
2025-06-16,5
2025-06-17,6
2025-06-18,4
2025-06-19,7
2025-06-20,9
2025-06-21,6
2025-06-22,4
2025-06-23,7
2025-06-24,4
2025-06-25,5
2025-06-26,6
2025-06-27,7
2025-06-28,8
2025-06-29,6
2025-06-30,5
2025-07-01,6
2025-07-02,5
2025-07-03,5
2025-07-04,7
2025-07-05,5
2025-07-06,5
2025-07-07,4
2025-07-08,6
2025-07-09,6
2025-07-10,6
2025-07-11,5
2025-07-12,6
2025-07-13,5
2025-07-14,5
2025-07-15,6
2025-07-16,6
2025-07-17,12
2025-07-18,7
2025-07-19,14
2025-07-20,14
2025-07-21,13
2025-07-22,8
2025-07-23,6
2025-07-24,8
2025-07-25,10
2025-07-26,10
2025-07-27,7
2025-07-28,5
2025-07-29,9
2025-07-30,22
2025-07-31,19
2025-08-01,7
2025-08-02,5
2025-08-03,6
2025-08-04,0
2025-08-05,6
2025-08-06,7
2025-08-07,6
2025-08-08,3
2025-08-09,11
2025-08-10,9
2025-08-11,9
2025-08-12,5
2025-08-13,5
2025-08-14,6
2025-08-15,8
2025-08-16,7
2025-08-17,6
2025-08-18,7
2025-08-19,5
2025-08-20,3
2025-08-21,4
2025-08-22,5
2025-08-23,7
2025-08-24,5
2025-08-25,5
2025-08-26,4
2025-08-27,4
2025-08-28,3
2025-08-29,4
2025-08-30,8
2025-08-31,6
2025-09-01,6
2025-09-02,4
2025-09-03,3
2025-09-04,6
2025-09-05,45
2025-09-06,19
2025-09-07,16
2025-09-08,8
2025-09-09,6
2025-09-10,5
2025-09-11,6
2025-09-12,4
2025-09-13,8
2025-09-14,9
2025-09-15,7
2025-09-16,7
2025-09-17,7
2025-09-18,10
2025-09-19,6
2025-09-20,13
2025-09-21,5
2025-09-22,13
2025-09-23,13
2025-09-24,12
2025-09-25,12
2025-09-26,15
2025-09-27,26
2025-09-28,22
2025-09-29,8
2025-09-30,9
2025-10-01,14
2025-10-02,16
2025-10-03,19
2025-10-04,17
2025-10-05,29
2025-10-06,12
2025-10-07,17
2025-10-08,14
2025-10-09,41
2025-10-10,44
2025-10-11,27
2025-10-12,35
2025-10-13,29
2025-10-14,23
2025-10-15,21
2025-10-16,13
2025-10-17,21
2025-10-18,29
2025-10-19,16
2025-10-20,11
2025-10-21,13
2025-10-22,12
2025-10-23,33
2025-10-24,33
2025-10-25,31
2025-10-26,39
2025-10-27,15
2025-10-28,18
2025-10-29,21
2025-10-30,25
2025-10-31,28
2025-11-01,19
2025-11-02,29
2025-11-03,16
2025-11-04,14
2025-11-05,26
2025-11-06,11
2025-11-07,22
2025-11-08,28
2025-11-09,35
2025-11-10,15
2025-11-11,18
2025-11-12,21
2025-11-13,31
2025-11-14,13
2025-11-15,27
2025-11-16,38
2025-11-17,22
2025-11-18,25
2025-11-19,32
2025-11-20,25
2025-11-21,40
2025-11-22,20
2025-11-23,26
2025-11-24,23
2025-11-25,25
2025-11-26,22
2025-11-27,35
2025-11-28,28
2025-11-29,37
2025-11-30,21
2025-12-01,12
2025-12-02,15
2025-12-03,20
2025-12-04,20
2025-12-05,31
2025-12-06,28
2025-12-07,32
2025-12-08,19
2025-12-09,28
2025-12-10,25
2025-12-11,20
2025-12-12,29
2025-12-13,32
2025-12-14,19
2025-12-15,24
2025-12-16,30
2025-12-17,18
2025-12-18,20
2025-12-19,28
2025-12-20,28
2025-12-21,39
2025-12-22,23
2025-12-23,33
2025-12-24,13
2025-12-25,12
2025-12-26,17
2025-12-27,27
2025-12-28,54
2025-12-29,28
2025-12-30,14
2025-12-31,22
2026-01-01,27
2026-01-02,26
2026-01-03,35
2026-01-04,23
2026-01-05,15
2026-01-06,23
2026-01-07,36
2026-01-08,14
2026-01-09,13
