Time,weather radar
2023-12-22,12
2023-12-23,13
2023-12-24,18
2023-12-25,21
2023-12-26,16
2023-12-27,13
2023-12-28,15
2023-12-29,9
2023-12-30,8
2023-12-31,7
2024-01-01,6
2024-01-02,7
2024-01-03,12
2024-01-04,10
2024-01-05,16
2024-01-06,35
2024-01-07,20
2024-01-08,48
2024-01-09,100
2024-01-10,25
2024-01-11,21
2024-01-12,70
2024-01-13,33
2024-01-14,35
2024-01-15,42
2024-01-16,30
2024-01-17,14
2024-01-18,21
2024-01-19,27
2024-01-20,12
2024-01-21,13
2024-01-22,25
2024-01-23,21
2024-01-24,21
2024-01-25,18
2024-01-26,11
2024-01-27,14
2024-01-28,11
2024-01-29,4
2024-01-30,5
2024-01-31,5
2024-02-01,7
2024-02-02,9
2024-02-03,14
2024-02-04,19
2024-02-05,13
2024-02-06,8
2024-02-07,7
2024-02-08,9
2024-02-09,9
2024-02-10,16
2024-02-11,14
2024-02-12,14
2024-02-13,11
2024-02-14,4
2024-02-15,8
2024-02-16,14
2024-02-17,15
2024-02-18,11
2024-02-19,7
2024-02-20,4
2024-02-21,4
2024-02-22,8
2024-02-23,8
2024-02-24,5
2024-02-25,3
2024-02-26,5
2024-02-27,15
2024-02-28,36
2024-02-29,8
2024-03-01,12
2024-03-02,11
2024-03-03,12
2024-03-04,11
2024-03-05,18
2024-03-06,15
2024-03-07,16
2024-03-08,19
2024-03-09,15
2024-03-10,8
2024-03-11,3
2024-03-12,3
2024-03-13,8
2024-03-14,39
2024-03-15,42
2024-03-16,16
2024-03-17,15
2024-03-18,8
2024-03-19,4
2024-03-20,5
2024-03-21,14
2024-03-22,25
2024-03-23,19
2024-03-24,18
2024-03-25,19
2024-03-26,17
2024-03-27,13
2024-03-28,9
2024-03-29,4
2024-03-30,11
2024-03-31,12
2024-04-01,30
2024-04-02,79
2024-04-03,37
2024-04-04,12
2024-04-05,7
2024-04-06,7
2024-04-07,13
2024-04-08,16
2024-04-09,22
2024-04-10,36
2024-04-11,28
2024-04-12,13
2024-04-13,6
2024-04-14,8
2024-04-15,11
2024-04-16,25
2024-04-17,23
2024-04-18,19
2024-04-19,15
2024-04-20,20
2024-04-21,15
2024-04-22,5
2024-04-23,10
2024-04-24,8
2024-04-25,10
2024-04-26,33
2024-04-27,43
2024-04-28,48
2024-04-29,20
2024-04-30,18
2024-05-01,17
2024-05-02,28
2024-05-03,24
2024-05-04,36
2024-05-05,33
2024-05-06,26
2024-05-07,50
2024-05-08,58
2024-05-09,51
2024-05-10,24
2024-05-11,19
2024-05-12,21
2024-05-13,37
2024-05-14,28
2024-05-15,22
2024-05-16,32
2024-05-17,31
2024-05-18,26
2024-05-19,19
2024-05-20,20
2024-05-21,40
2024-05-22,43
2024-05-23,30
2024-05-24,41
2024-05-25,38
2024-05-26,73
2024-05-27,59
2024-05-28,49
2024-05-29,23
2024-05-30,23
2024-05-31,28
2024-06-01,34
2024-06-02,31
2024-06-03,29
2024-06-04,28
2024-06-05,43
2024-06-06,22
2024-06-07,14
2024-06-08,20
2024-06-09,20
2024-06-10,18
2024-06-11,20
2024-06-12,21
2024-06-13,24
2024-06-14,24
2024-06-15,19
2024-06-16,22
2024-06-17,27
2024-06-18,32
2024-06-19,37
2024-06-20,25
2024-06-21,23
2024-06-22,33
2024-06-23,44
2024-06-24,17
2024-06-25,35
2024-06-26,37
2024-06-27,25
2024-06-28,23
2024-06-29,41
2024-06-30,46
2024-07-01,18
2024-07-02,19
2024-07-03,24
2024-07-04,45
2024-07-05,47
2024-07-06,36
2024-07-07,43
2024-07-08,57
2024-07-09,38
2024-07-10,39
2024-07-11,22
2024-07-12,24
2024-07-13,27
2024-07-14,30
2024-07-15,37
2024-07-16,53
2024-07-17,42
2024-07-18,26
2024-07-19,19
2024-07-20,25
2024-07-21,32
2024-07-22,32
2024-07-23,35
2024-07-24,31
2024-07-25,24
2024-07-26,19
2024-07-27,19
2024-07-28,27
2024-07-29,31
2024-07-30,31
2024-07-31,35
2024-08-01,32
2024-08-02,38
2024-08-03,42
2024-08-04,52
2024-08-05,49
2024-08-06,46
2024-08-07,30
2024-08-08,32
2024-08-09,29
2024-08-10,16
2024-08-11,16
2024-08-12,13
2024-08-13,12
2024-08-14,14
2024-08-15,21
2024-08-16,23
2024-08-17,37
2024-08-18,34
2024-08-19,19
2024-08-20,10
2024-08-21,10
2024-08-22,13
2024-08-23,12
2024-08-24,12
2024-08-25,12
2024-08-26,18
2024-08-27,26
2024-08-28,22
2024-08-29,28
2024-08-30,31
2024-08-31,28
2024-09-01,26
2024-09-02,16
2024-09-03,13
2024-09-04,13
2024-09-05,15
2024-09-06,19
2024-09-07,18
2024-09-08,9
2024-09-09,12
2024-09-10,15
2024-09-11,19
2024-09-12,21
2024-09-13,15
2024-09-14,15
2024-09-15,12
2024-09-16,13
