Time,chicago bears
2023-12-22,6
2023-12-23,7
2023-12-24,26
2023-12-25,22
2023-12-26,9
2023-12-27,7
2023-12-28,6
2023-12-29,7
2023-12-30,7
2023-12-31,39
2024-01-01,18
2024-01-02,10
2024-01-03,8
2024-01-04,7
2024-01-05,7
2024-01-06,9
2024-01-07,37
2024-01-08,22
2024-01-09,12
2024-01-10,16
2024-01-11,10
2024-01-12,8
2024-01-13,8
2024-01-14,8
2024-01-15,9
2024-01-16,8
2024-01-17,7
2024-01-18,7
2024-01-19,7
2024-01-20,7
2024-01-21,8
2024-01-22,10
2024-01-23,8
2024-01-24,7
2024-01-25,7
2024-01-26,6
2024-01-27,6
2024-01-28,7
2024-01-29,7
2024-01-30,6
2024-01-31,6
2024-02-01,6
2024-02-02,5
2024-02-03,6
2024-02-04,6
2024-02-05,6
2024-02-06,6
2024-02-07,5
2024-02-08,6
2024-02-09,6
2024-02-10,6
2024-02-11,6
2024-02-12,7
2024-02-13,6
2024-02-14,5
2024-02-15,6
2024-02-16,7
2024-02-17,5
2024-02-18,5
2024-02-19,5
2024-02-20,6
2024-02-21,6
2024-02-22,6
2024-02-23,6
2024-02-24,5
2024-02-25,6
2024-02-26,6
2024-02-27,7
2024-02-28,8
2024-02-29,8
2024-03-01,8
2024-03-02,8
2024-03-03,8
2024-03-04,7
2024-03-05,10
2024-03-06,8
2024-03-07,9
2024-03-08,9
2024-03-09,8
2024-03-10,10
2024-03-11,17
2024-03-12,19
2024-03-13,15
2024-03-14,14
2024-03-15,18
2024-03-16,17
2024-03-17,17
2024-03-18,11
2024-03-19,9
2024-03-20,8
2024-03-21,7
2024-03-22,6
2024-03-23,6
2024-03-24,7
2024-03-25,6
2024-03-26,6
2024-03-27,6
2024-03-28,5
2024-03-29,6
2024-03-30,5
2024-03-31,5
2024-04-01,6
2024-04-02,5
2024-04-03,5
2024-04-04,5
2024-04-05,5
2024-04-06,5
2024-04-07,5
2024-04-08,4
2024-04-09,5
2024-04-10,5
2024-04-11,5
2024-04-12,5
2024-04-13,4
2024-04-14,5
2024-04-15,4
2024-04-16,5
2024-04-17,5
2024-04-18,4
2024-04-19,4
2024-04-20,5
2024-04-21,4
2024-04-22,6
2024-04-23,7
2024-04-24,11
2024-04-25,12
2024-04-26,27
2024-04-27,23
2024-04-28,13
2024-04-29,9
2024-04-30,6
2024-05-01,6
2024-05-02,6
2024-05-03,5
2024-05-04,5
2024-05-05,5
2024-05-06,4
2024-05-07,5
2024-05-08,4
2024-05-09,4
2024-05-10,5
2024-05-11,5
2024-05-12,5
2024-05-13,6
2024-05-14,6
2024-05-15,9
2024-05-16,13
2024-05-17,6
2024-05-18,5
2024-05-19,5
2024-05-20,5
2024-05-21,5
2024-05-22,5
2024-05-23,4
2024-05-24,5
2024-05-25,4
2024-05-26,4
2024-05-27,4
2024-05-28,4
2024-05-29,4
2024-05-30,5
2024-05-31,4
2024-06-01,4
2024-06-02,4
2024-06-03,4
2024-06-04,4
2024-06-05,4
2024-06-06,4
2024-06-07,4
2024-06-08,4
2024-06-09,4
2024-06-10,4
2024-06-11,4
2024-06-12,4
2024-06-13,4
2024-06-14,4
2024-06-15,3
2024-06-16,4
2024-06-17,3
2024-06-18,4
2024-06-19,3
2024-06-20,4
2024-06-21,4
2024-06-22,3
2024-06-23,4
2024-06-24,4
2024-06-25,4
2024-06-26,4
2024-06-27,3
2024-06-28,3
2024-06-29,3
2024-06-30,3
2024-07-01,4
2024-07-02,4
2024-07-03,4
2024-07-04,4
2024-07-05,4
2024-07-06,3
2024-07-07,4
2024-07-08,4
2024-07-09,4
2024-07-10,4
2024-07-11,4
2024-07-12,4
2024-07-13,4
2024-07-14,4
2024-07-15,4
2024-07-16,5
2024-07-17,5
2024-07-18,5
2024-07-19,5
2024-07-20,4
2024-07-21,5
2024-07-22,5
2024-07-23,5
2024-07-24,5
2024-07-25,5
2024-07-26,5
2024-07-27,5
2024-07-28,5
2024-07-29,7
2024-07-30,6
2024-07-31,8
2024-08-01,12
2024-08-02,24
2024-08-03,7
2024-08-04,7
2024-08-05,6
2024-08-06,6
2024-08-07,9
2024-08-08,7
2024-08-09,8
2024-08-10,24
2024-08-11,15
2024-08-12,9
2024-08-13,8
2024-08-14,10
2024-08-15,9
2024-08-16,9
2024-08-17,27
2024-08-18,16
2024-08-19,10
2024-08-20,8
2024-08-21,9
2024-08-22,12
2024-08-23,27
2024-08-24,13
2024-08-25,13
2024-08-26,11
2024-08-27,13
2024-08-28,13
2024-08-29,10
2024-08-30,9
2024-08-31,9
2024-09-01,11
2024-09-02,11
2024-09-03,9
2024-09-04,12
2024-09-05,12
2024-09-06,11
2024-09-07,14
2024-09-08,100
2024-09-09,23
2024-09-10,11
2024-09-11,8
2024-09-12,9
2024-09-13,8
2024-09-14,9
2024-09-15,32
2024-09-16,88
