Time,twitch
2022-01-01,44
2022-01-02,46
2022-01-03,41
2022-01-04,46
2022-01-05,42
2022-01-06,34
2022-01-07,47
2022-01-08,54
2022-01-09,52
2022-01-10,39
2022-01-11,40
2022-01-12,42
2022-01-13,41
2022-01-14,36
2022-01-15,47
2022-01-16,39
2022-01-17,43
2022-01-18,37
2022-01-19,37
2022-01-20,38
2022-01-21,40
2022-01-22,49
2022-01-23,44
2022-01-24,46
2022-01-25,36
2022-01-26,35
2022-01-27,39
2022-01-28,44
2022-01-29,53
2022-01-30,49
2022-01-31,40
2022-02-01,40
2022-02-02,40
2022-02-03,42
2022-02-04,45
2022-02-05,48
2022-02-06,48
2022-02-07,41
2022-02-08,44
2022-02-09,45
2022-02-10,35
2022-02-11,46
2022-02-12,50
2022-02-13,45
2022-02-14,37
2022-02-15,42
2022-02-16,45
2022-02-17,41
2022-02-18,42
2022-02-19,44
2022-02-20,45
2022-02-21,41
2022-02-22,42
2022-02-23,44
2022-02-24,43
2022-02-25,38
2022-02-26,44
2022-02-27,46
2022-02-28,38
2022-03-01,37
2022-03-02,37
2022-03-03,35
2022-03-04,36
2022-03-05,46
2022-03-06,42
2022-03-07,37
2022-03-08,35
2022-03-09,37
2022-03-10,38
2022-03-11,38
2022-03-12,40
2022-03-13,46
2022-03-14,35
2022-03-15,36
2022-03-16,36
2022-03-17,36
2022-03-18,37
2022-03-19,42
2022-03-20,44
2022-03-21,36
2022-03-22,36
2022-03-23,36
2022-03-24,37
2022-03-25,35
2022-03-26,43
2022-03-27,41
2022-03-28,34
2022-03-29,34
2022-03-30,36
2022-03-31,35
2022-04-01,40
2022-04-02,45
2022-04-03,47
2022-04-04,39
2022-04-05,35
2022-04-06,34
2022-04-07,34
2022-04-08,35
2022-04-09,41
2022-04-10,42
2022-04-11,34
2022-04-12,36
2022-04-13,36
2022-04-14,37
2022-04-15,42
2022-04-16,47
2022-04-17,41
2022-04-18,35
2022-04-19,33
2022-04-20,33
2022-04-21,34
2022-04-22,35
2022-04-23,42
2022-04-24,39
2022-04-25,34
2022-04-26,37
2022-04-27,51
2022-04-28,41
2022-04-29,35
2022-04-30,42
2022-05-01,42
2022-05-02,34
2022-05-03,33
2022-05-04,32
2022-05-05,33
2022-05-06,35
2022-05-07,39
2022-05-08,39
2022-05-09,31
2022-05-10,34
2022-05-11,34
2022-05-12,35
2022-05-13,35
2022-05-14,54
2022-05-15,100
2022-05-16,65
2022-05-17,50
2022-05-18,39
2022-05-19,39
2022-05-20,39
2022-05-21,42
2022-05-22,42
2022-05-23,35
2022-05-24,35
2022-05-25,36
2022-05-26,41
2022-05-27,39
2022-05-28,41
2022-05-29,38
2022-05-30,38
2022-05-31,37
2022-06-01,36
2022-06-02,36
2022-06-03,35
2022-06-04,41
2022-06-05,44
2022-06-06,38
2022-06-07,38
2022-06-08,36
2022-06-09,39
2022-06-10,37
2022-06-11,38
2022-06-12,38
2022-06-13,34
2022-06-14,34
2022-06-15,36
2022-06-16,38
2022-06-17,37
2022-06-18,39
2022-06-19,35
2022-06-20,35
2022-06-21,37
2022-06-22,38
2022-06-23,37
2022-06-24,39
2022-06-25,40
2022-06-26,40
2022-06-27,37
2022-06-28,38
2022-06-29,41
2022-06-30,41
2022-07-01,40
2022-07-02,43
2022-07-03,40
2022-07-04,40
2022-07-05,35
2022-07-06,38
2022-07-07,38
2022-07-08,39
2022-07-09,41
2022-07-10,45
2022-07-11,40
2022-07-12,40
2022-07-13,39
2022-07-14,40
2022-07-15,40
2022-07-16,44
2022-07-17,46
2022-07-18,39
2022-07-19,45
2022-07-20,44
2022-07-21,42
2022-07-22,44
2022-07-23,45
2022-07-24,44
2022-07-25,41
2022-07-26,42
2022-07-27,40
2022-07-28,40
2022-07-29,39
2022-07-30,39
2022-07-31,43
2022-08-01,39
2022-08-02,40
2022-08-03,38
2022-08-04,41
2022-08-05,44
2022-08-06,44
2022-08-07,45
2022-08-08,40
2022-08-09,43
2022-08-10,42
2022-08-11,45
2022-08-12,41
2022-08-13,43
2022-08-14,44
2022-08-15,38
2022-08-16,37
2022-08-17,41
2022-08-18,41
2022-08-19,41
2022-08-20,44
2022-08-21,40
2022-08-22,35
2022-08-23,44
2022-08-24,39
2022-08-25,38
2022-08-26,51
2022-08-27,58
2022-08-28,48
2022-08-29,39
2022-08-30,37
2022-08-31,38
2022-09-01,36
2022-09-02,37
2022-09-03,36
2022-09-04,39
2022-09-05,44
2022-09-06,36
2022-09-07,41
2022-09-08,36
2022-09-09,33
2022-09-10,38
2022-09-11,36
2022-09-12,31
2022-09-13,32
2022-09-14,30
2022-09-15,34
2022-09-16,36
2022-09-17,40
2022-09-18,40
2022-09-19,34
2022-09-20,40
2022-09-21,49
2022-09-22,44
2022-09-23,42
2022-09-24,49
2022-09-25,43
2022-09-26,36
2022-09-27,35
